ds,yhat,yhat_lower,yhat_upper
2006-07-01,-17441.627184336496,-128845.68991427457,88651.04663122333
2006-07-02,3896.452528668532,-100223.75323299007,118626.0869048188
2006-07-03,45025.288576039886,-65923.20166716362,148507.7864580247
2006-07-04,-13178.744501531766,-111390.6590628399,90447.32211314236
2006-07-05,-11661.487255939961,-121127.77131889571,99656.45524750013
2006-07-06,-14413.993406944297,-127861.88834367189,93872.2984786743
2006-07-07,-13475.022583381307,-114088.13092897735,87170.4230884756
2006-07-08,-13424.320140699705,-117387.89660646026,92466.80499132752
2006-07-09,7913.75957288697,-89715.4007164143,114397.04319535542
2006-07-10,49042.595620831555,-45839.767939171805,167941.18841185607
2006-07-11,-9161.437455321542,-118274.11275566988,102216.24467689147
2006-07-12,-7644.180208138003,-108262.28464632049,99154.60430665685
2006-07-13,-10396.686357556178,-111102.52119941066,86480.67693306626
2006-07-14,-9457.715532437844,-119622.15988647104,88562.11900219356
2006-07-15,-9407.01308910297,-107238.86961996907,104673.65459131956
2006-07-16,11931.06662586124,-90804.94121609983,123086.11374960329
2006-07-17,53059.90267539632,-46619.719743846465,160833.80285333845
2006-07-18,-5144.130400134061,-114213.47154809065,102311.5843485763
2006-07-19,-3626.8731522852195,-106061.64949353422,96101.15193702366
2006-07-20,-6379.379301035697,-109828.09793640535,98508.43264075513
2006-07-21,-5440.408475228206,-104757.61214753089,97075.80102073832
2006-07-22,-5389.706030667126,-115001.27812320934,94944.0191818689
2006-07-23,15948.373684808736,-89284.0729259649,121027.9639719518
2006-07-24,57077.20973469684,-52242.8837860859,162347.46907469133
2006-07-25,-1126.8233409774111,-104424.33011369802,100254.53402439074
2006-07-26,390.43390688270847,-105415.45661227903,105395.35170726085
2006-07-27,-2362.0722418735477,-102724.52787331934,100342.49230925801
2006-07-28,-1423.1014153993765,-105409.92468855165,104496.3810675492
2006-07-29,-1372.3989706671528,-110140.6267378089,100452.48916367245
2006-07-30,19965.680745069025,-79371.3909631522,123474.60627032114
2006-07-31,61094.51679634415,-48936.92010655653,160069.50581119678
2006-08-01,2890.4837227228654,-99208.85672636918,104723.64579891773
2006-08-02,4407.740972478723,-103517.02242924234,109591.24276804195
2006-08-03,1655.2348264397351,-103434.40335315777,105455.60824269347
2006-08-04,2594.20565484255,-96538.81492465823,110129.83033879097
2006-08-05,2644.908101523024,-95394.470873641,107085.21891321903
2006-08-06,23982.987826529064,-84528.94096290845,128613.62667668216
2006-08-07,65111.823885767044,-36255.59354128471,176446.9962481982
2006-08-08,6907.790820453158,-92706.28115034728,114644.39675032576
2006-08-09,8425.048078634625,-94998.558897846,113912.25670923508
2006-08-10,5672.541940205547,-94692.73388473819,108819.88641712909
2006-08-11,6611.512778668528,-102704.93960116695,114018.026321876
2006-08-12,6662.215235316828,-107189.91646422961,113950.32764931473
2006-08-13,28000.294962967157,-76578.02180651687,130394.52509140261
2006-08-14,69129.13103300545,-29421.35043817019,174288.7337591284
2006-08-15,10925.097977924619,-95502.98358181457,109801.11863589301
2006-08-16,12442.355246431895,-84078.94613336127,105667.07098090599
2006-08-17,9689.849119008282,-93745.42132745722,122268.84208828722
2006-08-18,10628.819966272074,-95053.65199896132,109848.07570432076
2006-08-19,10679.522431675572,-91239.04592905418,106423.93904039402
2006-08-20,32017.602174860844,-83601.90740143953,133037.9238634327
2006-08-21,73146.43825256941,-31292.191838774732,179643.31357799415
2006-08-22,14942.405205140582,-88860.21042281076,117410.38882073895
2006-08-23,16459.66248198657,-84546.74988499319,120444.19567633794
2006-08-24,13707.156362045926,-86151.55751578709,121753.04280148045
2006-08-25,14646.127216692961,-84655.15700060008,117405.39736912279
2006-08-26,14696.829690714376,-90978.89209335529,124386.35302308212
2006-08-27,36034.90943561769,-65734.24306914287,149762.98901408378
2006-08-28,77163.74551503852,-31200.380502529915,182479.07261913564
2006-08-29,18959.712469583275,-86780.59172264734,123705.7376069897
2006-08-30,20476.969747597774,-81091.67574705833,136700.27665795942
2006-08-31,17724.463637655354,-90401.1781437232,123311.39004787107
2006-09-01,18663.434502146316,-89912.5486812556,121830.39649459002
2006-09-02,18714.13698493821,-80803.12361491483,117081.176608875
2006-09-03,40052.21673991996,-59802.04844699782,147737.6907600874
2006-09-04,81181.05282938064,-17960.341139734348,179765.58275685195
2006-09-05,22977.019793754458,-77661.18129760257,133199.8317527707
2006-09-06,24494.277084799905,-84731.39748755182,137506.41350986395
2006-09-07,21741.770979302335,-79506.23929560455,129125.12372938954
2006-09-08,22680.741848268503,-77793.5877791127,123978.82686334143
2006-09-09,22731.444336527802,-81968.35988024376,132124.8781632386
2006-09-10,44069.524095844856,-61525.95473780273,146978.19230482107
2006-09-11,85198.36018959973,-19788.184971496084,183475.37414921206
2006-09-12,26994.32715762168,-74152.4507868812,133842.00908711163
2006-09-13,28511.584449238853,-79465.75570704126,140194.29895966328
2006-09-14,25759.078344134527,-79848.86784688884,134042.30854576943
2006-09-15,26698.049213649207,-77032.68190968937,132916.978208037
2006-09-16,26748.75170137721,-88357.66520627314,132870.8502380184
2006-09-17,48086.831459985275,-56317.403563804066,152503.52917470346
2006-09-18,89215.66755307314,-19615.974417789526,195885.66310535822
2006-09-19,31011.63452113877,-77708.06653485371,130725.63041338124
2006-09-20,32528.89181270588,-70776.99537144777,138652.28754599235
2006-09-21,29776.385707637462,-78599.57814792353,135764.18322504623
2006-09-22,30715.35657709372,-72022.91230915156,132925.20360898285
2006-09-23,30766.05906488547,-70555.18895421531,135741.11075782852
2006-09-24,52104.13882345388,-52710.62669697739,164403.0053084427
2006-09-25,93232.97491654922,-8597.824113804318,201458.44718042947
2006-09-26,35028.94188469109,-60283.12088340205,146798.88581852097
2006-09-27,36546.19917617291,-67371.47565284713,141754.46865816438
2006-09-28,33793.693071140384,-71163.42943790912,133338.08017854992
2006-09-29,34732.663940538245,-70715.47206620825,138587.82086566556
2006-09-30,34783.36642827797,-63589.69421942675,139655.98342096302
2006-10-01,56121.44618694892,-50569.64066946296,160795.11107600815
2006-10-02,97250.28228002263,-8318.957940130254,202502.25822790244
2006-10-03,39046.24924814222,-67979.99681136891,144798.74595598617
2006-10-04,40563.50653963994,-65340.07695013019,140586.11035371144
2006-10-05,37811.00043454312,-71673.08457495554,143573.29020119787
2006-10-06,38749.97130410744,-63528.347154442024,143515.48542429417
2006-10-07,38800.67379178623,-67515.23425442129,142540.02462578632
2006-10-08,60138.75355044397,-46489.37772548965,167877.31862394893
2006-10-09,101267.58964349609,-10286.325004290731,215125.9263470313
2006-10-10,43063.55661167694,-57045.70460897691,144726.91775207213
2006-10-11,44580.813903156115,-60081.351722776155,150104.1765342226
2006-10-12,41828.30779804604,-62750.14459413379,144942.17635579227
2006-10-13,42767.27866749484,-56148.54187604005,146051.67920511178
2006-10-14,42817.98115529449,-63010.15081478337,149793.87971155005
2006-10-15,64156.060913939014,-38224.58202742082,170090.02438493216
2006-10-16,105284.89700697213,-6827.462621443225,207152.38465716777
2006-10-17,47080.86397511046,-46431.63241614189,148879.9973775854
2006-10-18,48598.12126662313,-60934.43469548905,152103.61161687737
2006-10-19,45845.61516154896,-62234.51951640712,150221.47605980898
2006-10-20,46784.58603093936,-57242.31102488536,149480.1433068953
2006-10-21,46835.28851877006,-61140.83178536364,158848.8911215787
2006-10-22,68173.36827740763,-40831.180817002794,169233.25884256334
2006-10-23,109302.20437044556,-1741.0319052995594,217835.07791878644
2006-10-24,51098.1713385616,-51988.766865911435,153587.12647285848
2006-10-25,52615.428630090144,-53572.75336630917,160725.8813013199
2006-10-26,49862.922525051894,-59739.544984442575,152346.69950552494
2006-10-27,50801.89339441765,-58867.40466368292,154325.9930322722
2006-10-28,50852.59588219526,-53381.20787371825,160016.22515675504
2006-10-29,72190.67564090266,-30796.31780262964,175955.91820438555
2006-10-30,113319.51173394444,7070.509138768549,221897.888103655
